id	name	gender	available	registration	dob	mainPhoto	desc	purchase
1	Gloria	False	True	True	2021-06-21	placeholder.jpg		False
2	Iris	False	True	True	2025-05-18	placeholder.jpg		False
3	Jo Ann	False	True	True	2024-05-06	placeholder.jpg		False
4	Black Babbee	False	True	False	2024-07-15	placeholder.jpg		False
5	Cemone	False	True	False	2020-01-20	placeholder.jpg		False
6	Onyx	False	True	False	2023-03-08	placeholder.jpg		False
7	Alice	False	True	True	2024-10-22	placeholder.jpg		False
8	Connie	False	True	True	2024-02-29	placeholder.jpg		False
9	Virginia	False	True	True	2020-08-20	placeholder.jpg		False
10	"Gringo Miguel ""White Boy Mike"""	True	True	True	2020-01-20	placeholder.jpg		False
11	Renegade	True	True	True	2024-02-29	placeholder.jpg		False
12	Apache Jr. [JR]	True	True	True	2025-01-08	placeholder.jpg		False
13	Hank	True	False	True	2013-09-16	placeholder.jpg		False
14	Monty	True	True	True	2024-02-09	placeholder.jpg		False
15	Test	False	False	True	2025-07-08	placeholder.jpg	This is a dog for testing purposes	False
