id,name,gender,available,registration,dob,mainPhoto,desc
1,Gloria,False,True,AKC,1970/01/01,placeholder.jpg,None
2,Iris,False,True,AKC,1970/01/01,placeholder.jpg,None
3,Joanne,False,True,AKC,1970/01/01,placeholder.jpg,None
4,Black Babbee,False,True,AATR,1970/01/01,placeholder.jpg,None
5,Cemone,False,True,AATR,1970/01/01,placeholder.jpg,None
6,Onyx,False,True,AATR,1970/01/01,placeholder.jpg,None
7,Alyce,False,True,AKC,1970/01/01,placeholder.jpg,None
8,Connie,False,True,AKC,1970/01/01,placeholder.jpg,None
9,Virginia,False,True,AKC,1970/01/01,placeholder.jpg,None
10,Gringo Miguel "White Boy Mike",True,True,AATR,1970/01/01,placeholder.jpg,None
11,Renegade,True,True,AKC,1970/01/01,placeholder.jpg,None
12,Apache Jr. [JR],True,True,AKC,1970/01/01,placeholder.jpg,None
13,Hank,True,True,AKC,1970/01/01,placeholder.jpg,None
14,Monty,True,True,AKC,1970/01/01,placeholder.jpg,None
